,node_size,efficiency_metric,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem
0,m5.24xlarge,7.14,19,0.25,0.11,0.99,0.88
1,m5.16xlarge,6.19,12,0.25,0.12,0.94,0.84
2,m5.12xlarge,5.79,9,0.26,0.14,0.94,0.85
3,c5.24xlarge,5.65,10,0.26,0.13,0.52,0.94
4,m5.8xlarge,5.15,6,0.26,0.16,0.94,0.87
5,c5.12xlarge,5.02,5,0.26,0.16,0.52,0.96
6,c5.18xlarge,4.82,7,0.26,0.15,0.49,0.89
7,m5.4xlarge,4.76,3,0.26,0.18,0.94,0.88
8,c4.8xlarge,4.27,3,0.26,0.17,0.42,0.94
9,c5.9xlarge,3.56,3,0.26,0.19,0.42,0.79
10,m5.2xlarge,2.23,1,0.27,0.29,0.64,0.65
11,c4.4xlarge,2.15,1,0.28,0.28,0.32,0.68
12,c5.4xlarge,2.01,1,0.28,0.29,0.32,0.65
