,node_size,efficiency_metric,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem
0,m5.24xlarge,5.47,21,0.51,0.11,0.66,0.97
1,m5.16xlarge,5.23,14,0.51,0.12,0.66,0.98
2,m5.12xlarge,4.71,10,0.51,0.13,0.63,0.94
3,m5.8xlarge,3.78,6,0.51,0.16,0.57,0.87
4,m5.4xlarge,3.56,3,0.52,0.18,0.57,0.88
5,c5.24xlarge,3.29,10,0.52,0.13,0.32,0.94
6,c5.12xlarge,3.06,5,0.52,0.16,0.32,0.96
7,c5.18xlarge,2.91,7,0.52,0.15,0.3,0.89
8,c4.8xlarge,2.54,3,0.53,0.17,0.25,0.94
9,c5.9xlarge,2.26,3,0.53,0.19,0.25,0.79
10,m5.2xlarge,1.79,1,0.55,0.29,0.39,0.65
11,c4.4xlarge,1.46,1,0.55,0.28,0.19,0.68
12,c5.4xlarge,1.39,1,0.55,0.29,0.19,0.65
