,node_size,efficiency_metric,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem
0,c5.24xlarge,3.82,20,0.51,0.19,0.63,0.99
1,m5.24xlarge,3.69,31,0.5,0.18,0.97,0.76
2,m5.16xlarge,3.58,21,0.51,0.2,0.99,0.79
3,c5.18xlarge,3.38,14,0.51,0.21,0.59,0.94
4,m5.12xlarge,3.22,15,0.51,0.21,0.94,0.76
5,c5.9xlarge,3.2,7,0.51,0.23,0.59,0.96
6,c5.12xlarge,3.11,9,0.51,0.23,0.57,0.92
7,c4.8xlarge,3.07,6,0.51,0.24,0.5,0.99
8,m5.8xlarge,2.96,10,0.51,0.24,0.94,0.78
9,m5.4xlarge,2.8,5,0.51,0.26,0.94,0.79
10,c5.4xlarge,2.79,3,0.52,0.28,0.57,0.96
11,m5.2xlarge,1.85,2,0.52,0.35,0.76,0.68
12,c4.4xlarge,1.72,2,0.53,0.35,0.38,0.72
13,m5.xlarge,1.56,1,0.54,0.46,0.77,0.73
14,c4.2xlarge,1.48,1,0.55,0.45,0.39,0.77
15,c5.2xlarge,1.39,1,0.55,0.46,0.39,0.73
