,node_size,efficiency_metric,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem
0,c5.24xlarge,7.28,10,0.13,0.13,0.94,0.94
1,c5.12xlarge,6.27,5,0.13,0.16,0.94,0.96
2,c5.18xlarge,6.06,7,0.13,0.15,0.88,0.89
3,c4.8xlarge,5.44,3,0.13,0.17,0.75,0.94
4,c5.9xlarge,4.33,3,0.13,0.19,0.75,0.79
5,m5.24xlarge,3.35,10,0.13,0.15,0.94,0.48
6,m5.16xlarge,3.24,7,0.13,0.17,0.99,0.51
7,m5.12xlarge,2.74,5,0.13,0.2,0.94,0.5
8,c4.4xlarge,2.53,1,0.14,0.28,0.57,0.68
9,c5.4xlarge,2.34,1,0.14,0.29,0.57,0.65
10,m5.8xlarge,1.98,3,0.13,0.26,0.85,0.47
11,m5.4xlarge,0.94,1,0.14,0.41,0.57,0.35
