,node_size,efficiency_metric,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem
0,c4.8xlarge,0.53,17,1.01,1.31,0.95,0.66
1,c5.24xlarge,0.47,47,1.01,1.23,0.98,0.55
2,c5.18xlarge,0.46,35,1.01,1.28,0.98,0.55
3,c5.12xlarge,0.45,23,1.01,1.33,0.96,0.56
4,c5.9xlarge,0.44,17,1.01,1.36,0.95,0.56
5,c4.4xlarge,0.41,7,1.02,1.51,0.88,0.58
6,c5.4xlarge,0.39,7,1.02,1.52,0.88,0.55
7,c4.2xlarge,0.33,3,1.03,1.87,0.76,0.57
8,c5.2xlarge,0.31,3,1.03,1.9,0.76,0.54
9,m5.24xlarge,0.24,47,1.01,1.31,0.98,0.28
10,m5.16xlarge,0.23,31,1.01,1.39,0.97,0.29
11,m5.12xlarge,0.22,23,1.01,1.47,0.96,0.3
12,m5.8xlarge,0.21,15,1.01,1.63,0.94,0.31
13,m5.4xlarge,0.19,7,1.02,1.8,0.88,0.31
14,c4.xlarge,0.19,1,1.08,2.8,0.52,0.51
15,c5.xlarge,0.18,1,1.08,2.9,0.52,0.49
16,c4.large,0.16,0,1.0,1.0,0.04,0.28
17,c5.large,0.16,0,1.0,1.0,0.04,0.28
18,m5.2xlarge,0.15,3,1.03,2.22,0.76,0.3
19,m5.xlarge,0.09,1,1.08,3.7,0.52,0.29
