,node_size,efficiency_metric,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem
0,c5.24xlarge,2.28,36,1.01,0.32,0.75,0.99
1,c5.18xlarge,2.13,26,1.01,0.34,0.73,0.97
2,c5.9xlarge,2.06,13,1.01,0.37,0.73,0.99
3,c5.12xlarge,2.04,17,1.01,0.36,0.71,0.96
4,m5.24xlarge,1.78,47,1.01,0.33,0.98,0.65
5,c4.8xlarge,1.75,10,1.02,0.38,0.56,0.92
6,c4.4xlarge,1.73,5,1.02,0.43,0.63,0.95
7,m5.16xlarge,1.7,31,1.01,0.35,0.97,0.65
8,c5.4xlarge,1.64,5,1.02,0.43,0.63,0.9
9,m5.12xlarge,1.63,23,1.01,0.37,0.96,0.65
10,m5.8xlarge,1.5,15,1.01,0.41,0.94,0.66
11,m5.4xlarge,1.32,7,1.02,0.45,0.88,0.63
12,c4.2xlarge,1.2,2,1.04,0.57,0.51,0.84
13,c5.2xlarge,1.13,2,1.04,0.59,0.51,0.79
14,c4.xlarge,1.09,1,1.08,0.7,0.52,0.91
15,c5.xlarge,1.02,1,1.08,0.73,0.52,0.86
16,m5.2xlarge,1.0,3,1.03,0.56,0.76,0.58
17,m5.xlarge,0.52,1,1.08,0.92,0.52,0.48
