,node_size,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem,efficiency_metric
0,m5.24xlarge,6,0.16,0.02,0.58,0.97,48.26
1,m5.16xlarge,4,0.17,0.02,0.59,0.98,43.12
2,m5.12xlarge,3,0.19,0.03,0.59,0.98,39.0
3,c5.24xlarge,3,0.19,0.03,0.3,0.98,37.42
4,m5.8xlarge,2,0.22,0.03,0.61,0.98,32.81
5,c5.18xlarge,2,0.22,0.03,0.27,0.88,27.93
6,m5.4xlarge,1,0.31,0.05,0.66,1.0,22.43
7,c5.9xlarge,1,0.31,0.05,0.29,0.89,19.01
8,c5.12xlarge,1,0.31,0.05,0.22,0.67,14.26
