,node_size,efficiency_metric,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem
0,m5.24xlarge,10.97,10,0.13,0.08,0.94,0.9
1,m5.16xlarge,10.65,7,0.13,0.08,0.99,0.95
2,m5.12xlarge,9.04,5,0.13,0.1,0.94,0.92
3,c5.18xlarge,7.92,4,0.13,0.11,0.5,0.98
4,c5.24xlarge,7.9,5,0.13,0.1,0.47,0.92
5,m5.8xlarge,6.54,3,0.13,0.13,0.85,0.85
6,c5.12xlarge,4.71,2,0.14,0.15,0.38,0.77
7,m5.4xlarge,3.03,1,0.14,0.21,0.57,0.6
8,c4.8xlarge,2.95,1,0.14,0.2,0.25,0.64
9,c5.9xlarge,2.35,1,0.14,0.22,0.25,0.54
