,node_size,efficiency_metric,max_executions,overhead_ratio_cpu,overhead_ratio_mem,util_ratio_cpu,util_ratio_mem
0,c4.8xlarge,1.35,17,1.01,0.66,0.95,0.94
1,c5.24xlarge,1.24,47,1.01,0.61,0.98,0.79
2,c5.18xlarge,1.21,35,1.01,0.64,0.98,0.8
3,c5.12xlarge,1.17,23,1.01,0.66,0.96,0.8
4,c5.9xlarge,1.14,17,1.01,0.68,0.95,0.79
5,c4.4xlarge,1.06,7,1.02,0.75,0.88,0.82
6,c5.4xlarge,0.99,7,1.02,0.76,0.88,0.77
7,c4.2xlarge,0.82,3,1.03,0.93,0.76,0.77
8,c5.2xlarge,0.77,3,1.03,0.95,0.76,0.73
9,m5.24xlarge,0.64,47,1.01,0.65,0.98,0.41
10,m5.16xlarge,0.62,31,1.01,0.69,0.97,0.41
11,m5.12xlarge,0.59,23,1.01,0.73,0.96,0.42
12,m5.8xlarge,0.55,15,1.01,0.81,0.94,0.43
13,m5.4xlarge,0.49,7,1.02,0.9,0.88,0.42
14,c4.xlarge,0.46,1,1.08,1.4,0.52,0.64
15,c5.xlarge,0.43,1,1.08,1.45,0.52,0.61
16,m5.2xlarge,0.38,3,1.03,1.11,0.76,0.4
17,m5.xlarge,0.21,1,1.08,1.85,0.52,0.36
18,c4.large,0.16,0,1.0,1.0,0.04,0.28
19,c5.large,0.16,0,1.0,1.0,0.04,0.28
